punto_numero,punto_nombre,punto_tipo,link,poblacion_total,hogares,desocupados,0-14,65_mas,inicial,primario,egb,secundario,polimodal,superior,universitario,post_universitario,lee_y _esc,NoLee_ni_e,hacinamiento,sin_red_agua,sin_cloaca,densidad_comercios,x,y
1,B° Sanidad (UV),Dr. Emilio Coni y Metraux,500071020,848,259,39,190,97,35,124,80,180,50,78,225,22,766,40,1,0,23,0,-68.87616334,-32.86881512
3,Gimnasio N° 2,Alpatacal 3150,500071102,878,309,27,123,192,20,115,38,181,41,91,327,36,831,25,0,0,2,5,-68.85376,-32.86608
4,C.I.C 1,9 de julio 3565,500070702,1018,346,46,182,195,40,216,27,274,39,137,208,14,922,58,2,0,2,12,-68.83332,-32.86292
5,Plaza Mathus Hoyos,"Santiago del Estero, M5500",500070205,778,239,31,170,82,26,163,55,257,51,57,109,2,705,37,4,0,2,16,-68.82580223,-32.87105339
6,Plaza Malarros De Torres,Los Nogales 749-799,500071010,1376,332,67,429,105,73,613,68,359,48,22,30,0,1157,116,20,0,8,3,-68.86789,-32.86903
7,Plaza Malvinas Argentinas,Rodríguez Cnel. 2701-2799,500071108,985,375,38,161,145,28,166,47,198,47,120,312,15,915,35,1,0,3,17,-68.84756,-32.87072
8,Plaza Irigoyen,Patricias Mendocinas 2920-2902,500070709,452,169,24,49,92,8,55,19,102,18,56,174,12,439,8,0,0,0,17,-68.83767,-32.86913
9,Gimnasio N° 3,Ayacucho 349,500070211,963,321,19,204,155,26,204,44,278,28,95,207,9,868,41,2,0,0,25,-68.82783,-32.87426
37,Plaza B° Santa Rita,,500071014,1057,259,56,300,71,51,430,65,254,55,34,45,3,904,90,14,0,2,1,-68.86756,-32.87286
10,Liceo Militar General Espejo,Av. Boulogne Sur Mer 2136,500071013,12,1,0,1,0,0,3,0,0,3,5,0,0,12,0,0,0,0,2,-68.85939,-32.87422
11,Plaza Mathons,Jorge Newbery 450-402,500070604,620,215,17,101,103,16,79,42,156,29,62,189,15,577,22,1,0,0,7,-68.85207,-32.87347
12,Parque Central 1,Los Toneles 405-409,500070104,519,245,9,65,132,11,73,12,119,9,59,198,12,484,14,0,0,0,5,-68.84286,-32.87689
13,Parque Central 2,El Parral 2243-2299,500070104,519,245,9,65,132,11,73,12,119,9,59,198,12,484,14,0,0,0,5,-68.84286,-32.87688
14,Nave Cultural,Las Cubas 201,500070106,664,268,21,104,120,16,103,12,154,30,65,233,8,610,18,2,2,0,2,-68.83989,-32.87759
15,Gimnasio N° 5,B° Alto Mendoza 11va Sección,500071303,1314,285,52,382,39,49,569,140,236,110,25,34,0,1133,85,5,0,6,3,-68.90318,-32.88753
16,Plaza B° Soberanía,Ingenieros J. 1660,500071017,1016,311,37,184,130,32,141,43,261,50,145,284,11,945,38,0,0,1,3,-68.873,-32.87731
23,Plazoleta Godoy,Olascoaga 1301-1379,500070505,511,201,10,86,80,13,64,30,109,13,46,189,23,476,14,1,0,0,25,-68.85548672,-32.88535933
18,Mitre y Godoy Cruz,Mitre y Godoy Cruz,500070115,411,192,11,50,100,13,41,11,90,8,57,160,17,390,10,2,0,0,80,-68.84285,-32.88336
19,Vea Patricias Mendocinas,"Patricias Mendocinas y Barcala
",500070107,704,212,25,91,142,10,131,11,218,10,58,205,27,660,24,0,0,0,75,-68.83864,-32.88223
20,Aristides y Huarpes,Aristides y Huarpes,500070510,767,284,25,81,136,16,42,30,124,35,96,379,24,732,18,1,0,0,37,-68.86036,-32.89107
21,Arístides y Paso de Los Andes,Arístides y Paso de Los Andes,500070510,767,284,25,81,136,16,42,30,124,35,96,379,24,732,18,1,0,0,55,-68.85895,-32.89124
22,Arístides y Olascoaga,Arístides y Olascoaga,500070904,700,282,17,80,121,19,52,19,97,21,56,382,26,658,21,0,0,0,64,-68.85469,-32.89253
24,25 De Mayo,25 De mayo,500070411,315,165,7,20,65,0,29,3,75,5,35,150,12,310,2,0,3,0,42,-68.84705,-32.88941
25,Gutierrez y España (Cultura),Gutierrez y España,500070402,398,196,13,32,116,4,41,11,75,15,48,175,17,387,1,0,1,0,153,-68.84159087,-32.88809288
27,Necochea (San Francisco),Necochea 275,500070116,466,113,5,56,61,7,67,39,108,20,46,155,13,442,15,1,0,0,135,-68.84199,-32.88676
28,Gutierrez y San Martín,Gutierrez y 9 de julio,500070113,395,131,9,30,67,4,50,9,91,21,40,159,9,376,9,1,0,0,298,-68.83908338,-32.88836007
29,Plaza Independencia,Patricias Mendocinas 1194-1110,500070402,398,196,13,32,116,4,41,11,75,15,48,175,17,387,1,0,1,0,116,-68.84323,-32.88985
31,U.T.N.,Rodeiguez 273,500070904,700,282,17,80,121,19,52,19,97,21,56,382,26,658,21,0,0,0,16,-68.85313,-32.89731
32,San Martin y Virgen del Carmen de Cuyo,San Martin y Virgen del Carmen de Cuyo,500070811,309,142,7,23,48,4,21,4,58,8,36,157,11,297,4,0,3,0,34,-68.84135,-32.89827
33,Escuela Mitre,San Juan 417,500070803,1020,358,41,192,91,30,96,72,213,49,140,342,16,941,33,0,0,1,47,-68.83903,-32.89875
34,Plaza Belgrano (B°Bombal),Cap. Moyano 475,500070809,528,188,11,87,102,16,40,24,82,18,47,250,23,487,16,0,0,0,8,-68.8489,-32.90131
35,Palero y Semorille,Palero y Semorille,500070810,631,264,14,96,119,13,69,25,115,27,54,278,22,596,14,0,0,2,16,-68.85285,-32.90114
36,Plazoleta La Paz,Mariano Moreno 300-202,500070910,656,263,20,86,111,15,66,19,112,26,74,305,16,620,19,0,0,0,20,-68.85418,-32.90226
39,Virgen del Carmen,Virgen del Carmen,500070801,562,164,17,106,53,21,66,19,97,22,68,223,14,510,25,0,0,2,4,-68.84474207,-32.89815492
